datetime,district,T2M,PS,RH2M
2023-01-01 00:00:00,Hyderabad,18.88,959.4,78.99
2023-01-01 01:00:00,Hyderabad,18.18,959.0,83.58
2023-01-01 02:00:00,Hyderabad,17.57,958.5,88.41
2023-01-01 03:00:00,Hyderabad,17.18,958.5,91.92
2023-01-01 04:00:00,Hyderabad,16.99,958.8,94.24
2023-01-01 05:00:00,Hyderabad,16.93,959.5999999999999,95.39
2023-01-01 06:00:00,Hyderabad,17.11,960.6,94.64
2023-01-01 07:00:00,Hyderabad,19.19,961.5,84.36
2023-01-01 08:00:00,Hyderabad,22.46,962.0999999999999,67.62
2023-01-01 09:00:00,Hyderabad,26.17,962.0,50.73
2023-01-01 10:00:00,Hyderabad,27.92,961.5,44.98
2023-01-01 11:00:00,Hyderabad,29.08,960.4000000000001,41.7
2023-01-01 12:00:00,Hyderabad,29.82,959.2,39.76
2023-01-01 13:00:00,Hyderabad,30.11,958.1,38.99
2023-01-01 14:00:00,Hyderabad,29.97,957.5,38.96
2023-01-01 15:00:00,Hyderabad,29.39,957.2,39.97
2023-01-01 16:00:00,Hyderabad,27.48,957.6,53.86
2023-01-01 17:00:00,Hyderabad,24.21,958.1999999999999,66.02
2023-01-01 18:00:00,Hyderabad,22.79,959.0999999999999,69.03
2023-01-01 19:00:00,Hyderabad,21.88,959.7,71.91
2023-01-01 20:00:00,Hyderabad,21.07,960.3,75.61
2023-01-01 21:00:00,Hyderabad,20.34,960.4000000000001,79.48
2023-01-01 22:00:00,Hyderabad,19.69,960.1,82.92
2023-01-01 23:00:00,Hyderabad,19.09,959.8000000000001,86.04
2023-01-02 00:00:00,Hyderabad,18.52,959.3000000000001,89.55
2023-01-02 01:00:00,Hyderabad,18.01,958.8,93.07
2023-01-02 02:00:00,Hyderabad,17.58,958.5,96.5
2023-01-02 03:00:00,Hyderabad,17.27,958.5,98.87
2023-01-02 04:00:00,Hyderabad,17.11,958.8,99.91
2023-01-02 05:00:00,Hyderabad,16.94,959.5,100.0
2023-01-02 06:00:00,Hyderabad,17.17,960.5,98.78
2023-01-02 07:00:00,Hyderabad,19.48,961.5,86.62
2023-01-02 08:00:00,Hyderabad,22.34,962.2,74.22
2023-01-02 09:00:00,Hyderabad,24.5,962.4,64.22
2023-01-02 10:00:00,Hyderabad,26.18,961.8000000000001,56.65
2023-01-02 11:00:00,Hyderabad,27.37,960.8,51.43
2023-01-02 12:00:00,Hyderabad,28.21,959.5999999999999,48.03
2023-01-02 13:00:00,Hyderabad,28.71,958.7,45.8
2023-01-02 14:00:00,Hyderabad,28.62,958.1,45.01
2023-01-02 15:00:00,Hyderabad,28.04,957.9000000000001,45.66
2023-01-02 16:00:00,Hyderabad,26.4,958.3,56.15
2023-01-02 17:00:00,Hyderabad,23.63,959.0,70.44
2023-01-02 18:00:00,Hyderabad,22.68,959.8000000000001,71.63
2023-01-02 19:00:00,Hyderabad,22.21,960.4000000000001,72.23
2023-01-02 20:00:00,Hyderabad,21.67,960.8,74.03
2023-01-02 21:00:00,Hyderabad,20.71,960.8,78.03
2023-01-02 22:00:00,Hyderabad,19.89,960.6999999999999,82.0
2023-01-02 23:00:00,Hyderabad,19.22,960.5,86.02
2023-01-03 00:00:00,Hyderabad,18.58,960.1999999999999,90.49
2023-01-03 01:00:00,Hyderabad,17.98,959.8000000000001,95.26
2023-01-03 02:00:00,Hyderabad,17.44,959.5,99.9
2023-01-03 03:00:00,Hyderabad,17.13,959.4,100.0
2023-01-03 04:00:00,Hyderabad,17.01,959.7,100.0
2023-01-03 05:00:00,Hyderabad,16.99,960.4000000000001,100.0
2023-01-03 06:00:00,Hyderabad,17.46,961.2,100.0
2023-01-03 07:00:00,Hyderabad,19.74,962.0999999999999,87.26
2023-01-03 08:00:00,Hyderabad,22.43,962.6999999999999,72.73
2023-01-03 09:00:00,Hyderabad,24.6,962.6,61.88
2023-01-03 10:00:00,Hyderabad,26.18,961.9,55.0
2023-01-03 11:00:00,Hyderabad,27.32,960.6999999999999,50.27
2023-01-03 12:00:00,Hyderabad,28.05,959.5,46.67
2023-01-03 13:00:00,Hyderabad,28.23,958.5,44.67
2023-01-03 14:00:00,Hyderabad,28.11,957.8,44.03
2023-01-03 15:00:00,Hyderabad,27.47,957.6,45.12
2023-01-03 16:00:00,Hyderabad,25.81,957.9000000000001,55.16
2023-01-03 17:00:00,Hyderabad,22.81,958.6,69.62
2023-01-03 18:00:00,Hyderabad,21.71,959.5,71.47
2023-01-03 19:00:00,Hyderabad,21.01,960.1999999999999,73.07
2023-01-03 20:00:00,Hyderabad,20.41,960.6,74.83
2023-01-03 21:00:00,Hyderabad,19.84,960.6,77.06
2023-01-03 22:00:00,Hyderabad,19.31,960.3,80.1
2023-01-03 23:00:00,Hyderabad,18.82,959.8000000000001,84.08
2023-01-04 00:00:00,Hyderabad,18.35,959.3000000000001,89.28
2023-01-04 01:00:00,Hyderabad,17.89,958.9,95.04
2023-01-04 02:00:00,Hyderabad,17.66,958.6,98.8
2023-01-04 03:00:00,Hyderabad,17.61,958.6,99.79
2023-01-04 04:00:00,Hyderabad,17.56,959.0,99.69
2023-01-04 05:00:00,Hyderabad,17.41,959.7,100.0
2023-01-04 06:00:00,Hyderabad,17.81,960.5,97.7
2023-01-04 07:00:00,Hyderabad,19.56,961.3,89.04
2023-01-04 08:00:00,Hyderabad,21.66,961.9,78.51
2023-01-04 09:00:00,Hyderabad,23.74,961.8000000000001,67.7
2023-01-04 10:00:00,Hyderabad,25.73,961.1,58.27
2023-01-04 11:00:00,Hyderabad,27.12,959.9,52.14
2023-01-04 12:00:00,Hyderabad,27.81,958.6,48.26
2023-01-04 13:00:00,Hyderabad,27.98,957.6,46.09
2023-01-04 14:00:00,Hyderabad,27.71,956.9,45.6
2023-01-04 15:00:00,Hyderabad,26.82,956.8000000000001,47.78
2023-01-04 16:00:00,Hyderabad,25.25,957.2,56.65
2023-01-04 17:00:00,Hyderabad,22.64,957.9000000000001,69.19
2023-01-04 18:00:00,Hyderabad,21.73,958.8,71.39
2023-01-04 19:00:00,Hyderabad,21.11,959.7,73.37
2023-01-04 20:00:00,Hyderabad,20.56,960.1999999999999,75.75
2023-01-04 21:00:00,Hyderabad,20.06,960.4000000000001,78.79
2023-01-04 22:00:00,Hyderabad,19.58,960.1,83.08
2023-01-04 23:00:00,Hyderabad,19.11,959.5999999999999,88.52
2023-01-05 00:00:00,Hyderabad,18.48,959.3000000000001,95.47
2023-01-05 01:00:00,Hyderabad,17.99,959.0,100.0
2023-01-05 02:00:00,Hyderabad,17.94,958.8,100.0
2023-01-05 03:00:00,Hyderabad,17.97,958.8,100.0
2023-01-05 04:00:00,Hyderabad,17.96,959.2,100.0
2023-01-05 05:00:00,Hyderabad,17.88,959.8000000000001,100.0
2023-01-05 06:00:00,Hyderabad,18.39,960.6999999999999,99.1
2023-01-05 07:00:00,Hyderabad,20.41,961.7,86.28
2023-01-05 08:00:00,Hyderabad,22.44,962.5,73.57
2023-01-05 09:00:00,Hyderabad,24.29,962.6,63.75
2023-01-05 10:00:00,Hyderabad,25.89,962.2,56.74
2023-01-05 11:00:00,Hyderabad,26.92,961.3,52.19
2023-01-05 12:00:00,Hyderabad,27.63,960.1,48.89
2023-01-05 13:00:00,Hyderabad,27.87,959.0999999999999,47.15
2023-01-05 14:00:00,Hyderabad,27.77,958.6,46.67
2023-01-05 15:00:00,Hyderabad,27.06,958.6,48.43
2023-01-05 16:00:00,Hyderabad,25.47,959.0,57.19
2023-01-05 17:00:00,Hyderabad,22.91,959.5999999999999,70.19
2023-01-05 18:00:00,Hyderabad,22.11,960.4000000000001,72.84
2023-01-05 19:00:00,Hyderabad,21.54,961.2,75.43
2023-01-05 20:00:00,Hyderabad,20.99,961.8000000000001,78.43
2023-01-05 21:00:00,Hyderabad,20.34,962.0999999999999,82.17
2023-01-05 22:00:00,Hyderabad,19.84,962.0999999999999,85.47
2023-01-05 23:00:00,Hyderabad,19.3,961.8000000000001,88.91
2023-01-06 00:00:00,Hyderabad,18.71,961.4,92.42
2023-01-06 01:00:00,Hyderabad,18.09,961.0,96.04
2023-01-06 02:00:00,Hyderabad,17.79,960.6,97.68
2023-01-06 03:00:00,Hyderabad,17.55,960.5,98.63
2023-01-06 04:00:00,Hyderabad,17.42,961.0,98.8
2023-01-06 05:00:00,Hyderabad,17.36,961.8000000000001,98.27
2023-01-06 06:00:00,Hyderabad,17.66,962.9000000000001,95.7
2023-01-06 07:00:00,Hyderabad,18.89,964.0,87.85
2023-01-06 08:00:00,Hyderabad,20.43,964.9,79.28
2023-01-06 09:00:00,Hyderabad,21.93,964.9,72.25
2023-01-06 10:00:00,Hyderabad,23.43,964.3000000000001,65.87
2023-01-06 11:00:00,Hyderabad,24.79,963.1999999999999,59.76
2023-01-06 12:00:00,Hyderabad,25.94,961.9,54.56
2023-01-06 13:00:00,Hyderabad,26.53,960.8,51.62
2023-01-06 14:00:00,Hyderabad,26.44,960.1,51.19
2023-01-06 15:00:00,Hyderabad,25.87,959.9,52.48
2023-01-06 16:00:00,Hyderabad,24.38,960.1999999999999,61.4
2023-01-06 17:00:00,Hyderabad,21.81,960.8,75.03
2023-01-06 18:00:00,Hyderabad,20.98,961.5999999999999,77.36
2023-01-06 19:00:00,Hyderabad,20.44,962.3000000000001,79.02
2023-01-06 20:00:00,Hyderabad,19.96,962.9000000000001,80.6
2023-01-06 21:00:00,Hyderabad,19.68,963.0,81.55
2023-01-06 22:00:00,Hyderabad,19.37,962.6,82.16
2023-01-06 23:00:00,Hyderabad,18.99,962.0999999999999,82.35
2023-01-07 00:00:00,Hyderabad,18.56,961.7,82.13
2023-01-07 01:00:00,Hyderabad,18.09,961.0,81.52
2023-01-07 02:00:00,Hyderabad,17.62,960.5,80.98
2023-01-07 03:00:00,Hyderabad,17.12,960.3,80.99
2023-01-07 04:00:00,Hyderabad,16.67,960.6999999999999,81.35
2023-01-07 05:00:00,Hyderabad,16.25,961.3,82.29
2023-01-07 06:00:00,Hyderabad,16.13,962.0,82.4
2023-01-07 07:00:00,Hyderabad,17.47,962.8,76.05
2023-01-07 08:00:00,Hyderabad,20.62,963.5,62.39
2023-01-07 09:00:00,Hyderabad,23.19,963.5,52.75
2023-01-07 10:00:00,Hyderabad,25.0,962.8,46.61
2023-01-07 11:00:00,Hyderabad,26.28,961.8000000000001,41.95
2023-01-07 12:00:00,Hyderabad,27.12,960.5,38.17
2023-01-07 13:00:00,Hyderabad,27.48,959.3000000000001,35.58
2023-01-07 14:00:00,Hyderabad,27.32,958.7,33.96
2023-01-07 15:00:00,Hyderabad,26.53,958.7,33.99
2023-01-07 16:00:00,Hyderabad,23.97,959.0,47.28
2023-01-07 17:00:00,Hyderabad,20.3,959.5999999999999,59.29
2023-01-07 18:00:00,Hyderabad,19.03,960.4000000000001,60.05
2023-01-07 19:00:00,Hyderabad,18.04,961.0,60.23
2023-01-07 20:00:00,Hyderabad,17.07,961.4,60.21
2023-01-07 21:00:00,Hyderabad,16.13,961.4,59.91
2023-01-07 22:00:00,Hyderabad,15.18,961.1,59.48
2023-01-07 23:00:00,Hyderabad,14.24,960.6,59.11
2023-01-08 00:00:00,Hyderabad,13.37,960.0,59.22
2023-01-08 01:00:00,Hyderabad,12.63,959.4,59.4
2023-01-08 02:00:00,Hyderabad,12.04,958.9,59.21
2023-01-08 03:00:00,Hyderabad,11.58,958.8,59.35
2023-01-08 04:00:00,Hyderabad,11.18,959.2,59.92
2023-01-08 05:00:00,Hyderabad,10.78,959.9,60.75
2023-01-08 06:00:00,Hyderabad,11.18,960.8,59.45
2023-01-08 07:00:00,Hyderabad,15.1,961.7,41.04
2023-01-08 08:00:00,Hyderabad,18.58,962.3000000000001,33.36
2023-01-08 09:00:00,Hyderabad,22.55,962.4,23.92
2023-01-08 10:00:00,Hyderabad,24.64,961.7,18.15
2023-01-08 11:00:00,Hyderabad,26.03,960.6,15.23
2023-01-08 12:00:00,Hyderabad,26.93,959.3000000000001,13.77
2023-01-08 13:00:00,Hyderabad,27.35,958.1999999999999,13.21
2023-01-08 14:00:00,Hyderabad,27.14,957.6999999999999,13.2
2023-01-08 15:00:00,Hyderabad,26.17,957.6,14.47
2023-01-08 16:00:00,Hyderabad,22.77,958.0,33.32
2023-01-08 17:00:00,Hyderabad,18.32,958.6,42.79
2023-01-08 18:00:00,Hyderabad,17.14,959.5999999999999,43.01
2023-01-08 19:00:00,Hyderabad,16.58,960.5,42.41
2023-01-08 20:00:00,Hyderabad,16.19,960.9000000000001,41.33
