datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Hyderabad,18.88,78.99,959.4
2023-01-01 01:00:00,Hyderabad,18.18,83.58,959.0
2023-01-01 02:00:00,Hyderabad,17.57,88.41,958.5
2023-01-01 03:00:00,Hyderabad,17.18,91.92,958.5
2023-01-01 04:00:00,Hyderabad,16.99,94.24,958.8
2023-01-01 05:00:00,Hyderabad,16.93,95.39,959.5999999999999
2023-01-01 06:00:00,Hyderabad,17.11,94.64,960.6
2023-01-01 07:00:00,Hyderabad,19.19,84.36,961.5
2023-01-01 08:00:00,Hyderabad,22.46,67.62,962.0999999999999
2023-01-01 09:00:00,Hyderabad,26.17,50.73,962.0
2023-01-01 10:00:00,Hyderabad,27.92,44.98,961.5
2023-01-01 11:00:00,Hyderabad,29.08,41.7,960.4000000000001
2023-01-01 12:00:00,Hyderabad,29.82,39.76,959.2
2023-01-01 13:00:00,Hyderabad,30.11,38.99,958.1
2023-01-01 14:00:00,Hyderabad,29.97,38.96,957.5
2023-01-01 15:00:00,Hyderabad,29.39,39.97,957.2
2023-01-01 16:00:00,Hyderabad,27.48,53.86,957.6
2023-01-01 17:00:00,Hyderabad,24.21,66.02,958.1999999999999
2023-01-01 18:00:00,Hyderabad,22.79,69.03,959.0999999999999
2023-01-01 19:00:00,Hyderabad,21.88,71.91,959.7
2023-01-01 20:00:00,Hyderabad,21.07,75.61,960.3
2023-01-01 21:00:00,Hyderabad,20.34,79.48,960.4000000000001
2023-01-01 22:00:00,Hyderabad,19.69,82.92,960.1
2023-01-01 23:00:00,Hyderabad,19.09,86.04,959.8000000000001
2023-01-02 00:00:00,Hyderabad,18.52,89.55,959.3000000000001
2023-01-02 01:00:00,Hyderabad,18.01,93.07,958.8
2023-01-02 02:00:00,Hyderabad,17.58,96.5,958.5
2023-01-02 03:00:00,Hyderabad,17.27,98.87,958.5
2023-01-02 04:00:00,Hyderabad,17.11,99.91,958.8
2023-01-02 05:00:00,Hyderabad,16.94,100.0,959.5
2023-01-02 06:00:00,Hyderabad,17.17,98.78,960.5
