datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Karimnagar,21.08,57.27,986.5
2023-01-01 01:00:00,Karimnagar,20.48,59.53,986.0
2023-01-01 02:00:00,Karimnagar,19.68,63.62,985.6999999999999
2023-01-01 03:00:00,Karimnagar,19.21,65.79,985.6999999999999
2023-01-01 04:00:00,Karimnagar,18.49,69.23,986.2
2023-01-01 05:00:00,Karimnagar,17.9,72.13,987.0
2023-01-01 06:00:00,Karimnagar,17.65,74.6,988.1
2023-01-01 07:00:00,Karimnagar,19.47,66.76,989.0
2023-01-01 08:00:00,Karimnagar,22.6,55.4,989.7
2023-01-01 09:00:00,Karimnagar,26.49,44.08,989.5
2023-01-01 10:00:00,Karimnagar,28.92,38.26,988.8
2023-01-01 11:00:00,Karimnagar,30.19,35.7,987.6999999999999
2023-01-01 12:00:00,Karimnagar,30.99,34.2,986.4
2023-01-01 13:00:00,Karimnagar,31.32,33.67,985.3
2023-01-01 14:00:00,Karimnagar,31.14,33.85,984.7
2023-01-01 15:00:00,Karimnagar,30.48,34.93,984.5
2023-01-01 16:00:00,Karimnagar,28.52,45.65,984.8000000000001
2023-01-01 17:00:00,Karimnagar,25.9,50.93,985.4000000000001
2023-01-01 18:00:00,Karimnagar,24.48,54.09,986.3
2023-01-01 19:00:00,Karimnagar,23.41,56.58,986.9
2023-01-01 20:00:00,Karimnagar,22.67,58.01,987.5
2023-01-01 21:00:00,Karimnagar,21.92,59.65,987.6
2023-01-01 22:00:00,Karimnagar,21.12,61.7,987.4
2023-01-01 23:00:00,Karimnagar,20.18,64.95,987.0999999999999
2023-01-02 00:00:00,Karimnagar,19.27,68.35,986.7
2023-01-02 01:00:00,Karimnagar,18.5,71.4,986.3
2023-01-02 02:00:00,Karimnagar,17.86,74.15,986.0
2023-01-02 03:00:00,Karimnagar,17.35,76.74,986.0
2023-01-02 04:00:00,Karimnagar,16.93,79.24,986.3
2023-01-02 05:00:00,Karimnagar,16.57,81.88,987.0999999999999
2023-01-02 06:00:00,Karimnagar,16.71,83.29,988.0
2023-01-02 07:00:00,Karimnagar,18.73,74.71,989.0
2023-01-02 08:00:00,Karimnagar,22.19,63.15,989.7
2023-01-02 09:00:00,Karimnagar,25.97,50.94,989.7
2023-01-02 10:00:00,Karimnagar,28.0,45.39,989.0999999999999
2023-01-02 11:00:00,Karimnagar,29.22,42.17,988.1999999999999
2023-01-02 12:00:00,Karimnagar,30.03,39.76,986.9
2023-01-02 13:00:00,Karimnagar,30.43,38.17,985.8
2023-01-02 14:00:00,Karimnagar,30.33,37.64,985.1
2023-01-02 15:00:00,Karimnagar,29.74,38.33,984.9
2023-01-02 16:00:00,Karimnagar,28.13,48.53,985.3
2023-01-02 17:00:00,Karimnagar,26.07,53.0,986.0
2023-01-02 18:00:00,Karimnagar,24.76,56.38,986.8000000000001
2023-01-02 19:00:00,Karimnagar,23.73,58.89,987.4
2023-01-02 20:00:00,Karimnagar,22.78,61.43,987.8
2023-01-02 21:00:00,Karimnagar,22.07,63.61,987.9000000000001
2023-01-02 22:00:00,Karimnagar,21.29,65.67,987.9000000000001
2023-01-02 23:00:00,Karimnagar,20.63,66.82,987.6999999999999
2023-01-03 00:00:00,Karimnagar,20.03,68.33,987.4
2023-01-03 01:00:00,Karimnagar,19.33,71.13,987.0999999999999
2023-01-03 02:00:00,Karimnagar,18.69,74.23,986.9
2023-01-03 03:00:00,Karimnagar,18.18,77.54,986.9
2023-01-03 04:00:00,Karimnagar,17.78,81.08,987.2
2023-01-03 05:00:00,Karimnagar,17.57,84.17,987.9000000000001
2023-01-03 06:00:00,Karimnagar,17.83,85.1,988.8
2023-01-03 07:00:00,Karimnagar,20.16,76.7,989.5999999999999
2023-01-03 08:00:00,Karimnagar,23.41,66.73,990.0
2023-01-03 09:00:00,Karimnagar,25.9,58.67,989.9
2023-01-03 10:00:00,Karimnagar,27.78,52.19,989.0999999999999
2023-01-03 11:00:00,Karimnagar,29.0,47.55,987.9000000000001
2023-01-03 12:00:00,Karimnagar,29.77,44.11,986.5
2023-01-03 13:00:00,Karimnagar,30.04,42.03,985.4000000000001
2023-01-03 14:00:00,Karimnagar,29.84,41.37,984.7
2023-01-03 15:00:00,Karimnagar,29.19,42.25,984.5
2023-01-03 16:00:00,Karimnagar,27.58,51.06,984.8000000000001
2023-01-03 17:00:00,Karimnagar,25.06,59.28,985.5
2023-01-03 18:00:00,Karimnagar,24.1,61.64,986.3
2023-01-03 19:00:00,Karimnagar,23.36,64.12,987.0999999999999
2023-01-03 20:00:00,Karimnagar,22.69,66.57,987.4
2023-01-03 21:00:00,Karimnagar,22.09,68.63,987.5
2023-01-03 22:00:00,Karimnagar,21.68,70.11,987.2
2023-01-03 23:00:00,Karimnagar,21.25,71.95,986.8000000000001
2023-01-04 00:00:00,Karimnagar,20.72,74.88,986.4
2023-01-04 01:00:00,Karimnagar,20.09,79.54,985.9000000000001
2023-01-04 02:00:00,Karimnagar,19.58,84.68,985.6999999999999
2023-01-04 03:00:00,Karimnagar,19.2,89.31,985.8
2023-01-04 04:00:00,Karimnagar,19.02,92.35,986.2
2023-01-04 05:00:00,Karimnagar,19.01,93.62,987.0999999999999
2023-01-04 06:00:00,Karimnagar,19.35,92.65,988.0
2023-01-04 07:00:00,Karimnagar,20.72,86.58,988.8
2023-01-04 08:00:00,Karimnagar,22.82,76.65,989.3000000000001
2023-01-04 09:00:00,Karimnagar,24.87,66.56,989.3000000000001
2023-01-04 10:00:00,Karimnagar,26.63,58.58,988.5
2023-01-04 11:00:00,Karimnagar,28.27,52.05,987.3000000000001
2023-01-04 12:00:00,Karimnagar,29.12,48.25,985.9000000000001
2023-01-04 13:00:00,Karimnagar,29.28,46.14,984.9
2023-01-04 14:00:00,Karimnagar,28.68,46.51,984.2
2023-01-04 15:00:00,Karimnagar,28.01,48.19,984.0999999999999
2023-01-04 16:00:00,Karimnagar,26.55,56.77,984.4
2023-01-04 17:00:00,Karimnagar,24.53,63.95,985.1
2023-01-04 18:00:00,Karimnagar,23.9,66.09,985.9000000000001
2023-01-04 19:00:00,Karimnagar,23.41,68.19,986.7
2023-01-04 20:00:00,Karimnagar,22.95,70.15,987.3000000000001
2023-01-04 21:00:00,Karimnagar,22.42,72.22,987.4
2023-01-04 22:00:00,Karimnagar,21.83,74.6,987.0999999999999
