datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Khammam,20.79,93.58,1000.9000000000001
2023-01-01 01:00:00,Khammam,20.2,99.55,1000.6
2023-01-01 02:00:00,Khammam,19.73,100.0,1000.1999999999999
2023-01-01 03:00:00,Khammam,19.42,100.0,1000.1999999999999
2023-01-01 04:00:00,Khammam,19.26,100.0,1000.6999999999999
2023-01-01 05:00:00,Khammam,19.35,100.0,1001.5
2023-01-01 06:00:00,Khammam,19.98,99.22,1002.5
2023-01-01 07:00:00,Khammam,22.55,85.82,1003.6
2023-01-01 08:00:00,Khammam,25.14,72.95,1004.2
2023-01-01 09:00:00,Khammam,27.45,61.05,1004.2
2023-01-01 10:00:00,Khammam,29.34,52.02,1003.5
2023-01-01 11:00:00,Khammam,30.69,46.48,1002.4
2023-01-01 12:00:00,Khammam,31.41,43.62,1001.1
2023-01-01 13:00:00,Khammam,31.53,42.59,999.9
2023-01-01 14:00:00,Khammam,31.2,42.81,999.0999999999999
2023-01-01 15:00:00,Khammam,30.59,44.09,998.9
2023-01-01 16:00:00,Khammam,29.24,54.13,999.3000000000001
2023-01-01 17:00:00,Khammam,26.97,65.54,1000.0
2023-01-01 18:00:00,Khammam,25.85,67.04,1000.8
2023-01-01 19:00:00,Khammam,24.71,70.52,1001.5
2023-01-01 20:00:00,Khammam,23.7,75.49,1001.9
2023-01-01 21:00:00,Khammam,23.0,79.66,1002.0
2023-01-01 22:00:00,Khammam,22.27,84.67,1001.8000000000001
2023-01-01 23:00:00,Khammam,21.6,90.01,1001.5
2023-01-02 00:00:00,Khammam,20.94,95.09,1001.0
2023-01-02 01:00:00,Khammam,20.42,98.47,1000.5
2023-01-02 02:00:00,Khammam,20.04,100.0,1000.1999999999999
2023-01-02 03:00:00,Khammam,19.74,100.0,1000.3
2023-01-02 04:00:00,Khammam,19.63,100.0,1000.6999999999999
2023-01-02 05:00:00,Khammam,19.64,100.0,1001.5
2023-01-02 06:00:00,Khammam,20.18,98.61,1002.6
2023-01-02 07:00:00,Khammam,22.7,84.82,1003.6
2023-01-02 08:00:00,Khammam,25.24,70.74,1004.3000000000001
2023-01-02 09:00:00,Khammam,27.2,60.76,1004.2
2023-01-02 10:00:00,Khammam,28.84,53.74,1003.4000000000001
2023-01-02 11:00:00,Khammam,29.9,48.76,1002.2
2023-01-02 12:00:00,Khammam,30.53,45.39,1001.0
2023-01-02 13:00:00,Khammam,30.96,43.18,1000.0
2023-01-02 14:00:00,Khammam,30.75,42.82,999.4
2023-01-02 15:00:00,Khammam,29.93,45.33,999.3000000000001
2023-01-02 16:00:00,Khammam,28.11,58.98,999.7
2023-01-02 17:00:00,Khammam,25.78,69.34,1000.4000000000001
2023-01-02 18:00:00,Khammam,24.99,70.39,1001.4
2023-01-02 19:00:00,Khammam,24.3,72.21,1002.0999999999999
2023-01-02 20:00:00,Khammam,23.51,75.83,1002.6999999999999
2023-01-02 21:00:00,Khammam,22.78,80.23,1002.9000000000001
2023-01-02 22:00:00,Khammam,22.1,84.57,1002.8
2023-01-02 23:00:00,Khammam,21.43,88.45,1002.5
2023-01-03 00:00:00,Khammam,20.86,91.5,1002.2
2023-01-03 01:00:00,Khammam,20.37,94.0,1001.8000000000001
2023-01-03 02:00:00,Khammam,20.02,95.69,1001.5
2023-01-03 03:00:00,Khammam,19.64,97.63,1001.5
2023-01-03 04:00:00,Khammam,19.31,99.4,1001.8000000000001
2023-01-03 05:00:00,Khammam,19.03,100.0,1002.4
2023-01-03 06:00:00,Khammam,19.62,97.51,1003.1999999999999
