datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Mahbubnagar,19.81,79.33,965.6
2023-01-01 01:00:00,Mahbubnagar,19.16,84.56,965.1
2023-01-01 02:00:00,Mahbubnagar,18.58,89.5,964.8000000000001
2023-01-01 03:00:00,Mahbubnagar,18.05,93.93,964.8000000000001
2023-01-01 04:00:00,Mahbubnagar,17.57,97.99,965.1
2023-01-01 05:00:00,Mahbubnagar,17.22,100.0,965.8
2023-01-01 06:00:00,Mahbubnagar,17.72,97.7,966.9
2023-01-01 07:00:00,Mahbubnagar,19.82,85.43,967.8
2023-01-01 08:00:00,Mahbubnagar,23.85,61.96,968.5
2023-01-01 09:00:00,Mahbubnagar,26.94,48.15,968.4000000000001
2023-01-01 10:00:00,Mahbubnagar,29.11,40.88,967.6999999999999
2023-01-01 11:00:00,Mahbubnagar,30.58,36.62,966.5999999999999
2023-01-01 12:00:00,Mahbubnagar,31.49,34.12,965.3
2023-01-01 13:00:00,Mahbubnagar,31.89,32.83,964.0999999999999
2023-01-01 14:00:00,Mahbubnagar,31.81,32.37,963.4000000000001
2023-01-01 15:00:00,Mahbubnagar,31.25,32.74,963.1
2023-01-01 16:00:00,Mahbubnagar,29.88,38.78,963.3
2023-01-01 17:00:00,Mahbubnagar,27.23,49.11,963.9
2023-01-01 18:00:00,Mahbubnagar,25.49,52.77,964.8000000000001
2023-01-01 19:00:00,Mahbubnagar,24.35,55.47,965.4000000000001
2023-01-01 20:00:00,Mahbubnagar,23.37,60.15,966.0
2023-01-01 21:00:00,Mahbubnagar,22.44,66.81,966.2
2023-01-01 22:00:00,Mahbubnagar,21.45,74.55,966.1
2023-01-01 23:00:00,Mahbubnagar,20.62,81.5,965.6999999999999
2023-01-02 00:00:00,Mahbubnagar,19.94,87.32,965.1999999999999
2023-01-02 01:00:00,Mahbubnagar,19.33,92.34,964.7
2023-01-02 02:00:00,Mahbubnagar,18.79,96.46,964.4
2023-01-02 03:00:00,Mahbubnagar,18.63,97.5,964.4
2023-01-02 04:00:00,Mahbubnagar,18.5,97.69,964.7
2023-01-02 05:00:00,Mahbubnagar,18.27,98.24,965.4000000000001
2023-01-02 06:00:00,Mahbubnagar,18.49,96.14,966.5
2023-01-02 07:00:00,Mahbubnagar,20.67,83.23,967.5
2023-01-02 08:00:00,Mahbubnagar,23.83,65.29,968.3
2023-01-02 09:00:00,Mahbubnagar,26.54,52.7,968.3
2023-01-02 10:00:00,Mahbubnagar,28.4,45.92,967.5
2023-01-02 11:00:00,Mahbubnagar,29.68,41.34,966.4
2023-01-02 12:00:00,Mahbubnagar,30.76,37.71,965.1999999999999
2023-01-02 13:00:00,Mahbubnagar,31.18,35.91,964.3000000000001
2023-01-02 14:00:00,Mahbubnagar,31.17,35.13,963.6
2023-01-02 15:00:00,Mahbubnagar,30.49,35.81,963.4000000000001
2023-01-02 16:00:00,Mahbubnagar,28.92,40.85,963.7
2023-01-02 17:00:00,Mahbubnagar,26.35,49.96,964.4
2023-01-02 18:00:00,Mahbubnagar,25.55,52.48,965.4000000000001
2023-01-02 19:00:00,Mahbubnagar,24.78,56.6,966.2
2023-01-02 20:00:00,Mahbubnagar,23.81,62.21,966.8000000000001
2023-01-02 21:00:00,Mahbubnagar,22.83,67.94,967.0
2023-01-02 22:00:00,Mahbubnagar,21.75,74.31,966.9
2023-01-02 23:00:00,Mahbubnagar,20.91,79.58,966.5999999999999
2023-01-03 00:00:00,Mahbubnagar,20.21,84.29,966.3
2023-01-03 01:00:00,Mahbubnagar,19.62,88.46,965.8
2023-01-03 02:00:00,Mahbubnagar,19.01,92.62,965.6
2023-01-03 03:00:00,Mahbubnagar,18.49,96.03,965.4000000000001
2023-01-03 04:00:00,Mahbubnagar,18.22,97.78,965.8
2023-01-03 05:00:00,Mahbubnagar,18.07,98.33,966.4
2023-01-03 06:00:00,Mahbubnagar,18.34,96.03,967.3000000000001
2023-01-03 07:00:00,Mahbubnagar,20.45,83.72,968.1999999999999
2023-01-03 08:00:00,Mahbubnagar,23.66,65.01,968.8
2023-01-03 09:00:00,Mahbubnagar,26.26,52.2,968.7
2023-01-03 10:00:00,Mahbubnagar,28.14,44.74,967.8
2023-01-03 11:00:00,Mahbubnagar,29.46,40.02,966.5999999999999
2023-01-03 12:00:00,Mahbubnagar,30.33,36.99,965.3
2023-01-03 13:00:00,Mahbubnagar,30.75,35.07,964.2
2023-01-03 14:00:00,Mahbubnagar,30.7,34.24,963.5
2023-01-03 15:00:00,Mahbubnagar,30.11,34.72,963.1999999999999
2023-01-03 16:00:00,Mahbubnagar,28.58,39.43,963.5
2023-01-03 17:00:00,Mahbubnagar,25.94,48.98,964.2
2023-01-03 18:00:00,Mahbubnagar,25.09,50.7,965.1
2023-01-03 19:00:00,Mahbubnagar,24.36,54.31,966.0
2023-01-03 20:00:00,Mahbubnagar,23.6,59.52,966.5999999999999
2023-01-03 21:00:00,Mahbubnagar,22.43,67.23,966.8000000000001
2023-01-03 22:00:00,Mahbubnagar,21.35,75.05,966.5999999999999
2023-01-03 23:00:00,Mahbubnagar,20.55,81.52,966.2
2023-01-04 00:00:00,Mahbubnagar,19.9,86.53,965.6999999999999
2023-01-04 01:00:00,Mahbubnagar,19.33,90.42,965.1999999999999
2023-01-04 02:00:00,Mahbubnagar,18.8,93.57,964.9
2023-01-04 03:00:00,Mahbubnagar,18.48,95.32,964.9
2023-01-04 04:00:00,Mahbubnagar,18.31,96.01,965.3
2023-01-04 05:00:00,Mahbubnagar,18.12,96.79,966.0
2023-01-04 06:00:00,Mahbubnagar,18.34,95.26,966.8000000000001
2023-01-04 07:00:00,Mahbubnagar,20.47,83.69,967.6
2023-01-04 08:00:00,Mahbubnagar,23.34,67.82,968.1
2023-01-04 09:00:00,Mahbubnagar,26.0,53.83,967.8
2023-01-04 10:00:00,Mahbubnagar,28.09,44.27,967.0
2023-01-04 11:00:00,Mahbubnagar,29.45,38.81,965.8
2023-01-04 12:00:00,Mahbubnagar,30.26,35.4,964.4
2023-01-04 13:00:00,Mahbubnagar,30.5,33.68,963.1999999999999
2023-01-04 14:00:00,Mahbubnagar,30.42,32.93,962.4
2023-01-04 15:00:00,Mahbubnagar,29.65,33.82,962.2
2023-01-04 16:00:00,Mahbubnagar,28.01,38.5,962.6
2023-01-04 17:00:00,Mahbubnagar,25.36,47.54,963.5
2023-01-04 18:00:00,Mahbubnagar,24.62,50.78,964.5
2023-01-04 19:00:00,Mahbubnagar,23.78,55.9,965.6
2023-01-04 20:00:00,Mahbubnagar,22.88,62.37,966.3
2023-01-04 21:00:00,Mahbubnagar,21.93,69.82,966.5999999999999
2023-01-04 22:00:00,Mahbubnagar,21.06,77.41,966.3
2023-01-04 23:00:00,Mahbubnagar,20.32,84.19,965.8
2023-01-05 00:00:00,Mahbubnagar,19.58,90.1,965.3
2023-01-05 01:00:00,Mahbubnagar,18.97,94.88,964.9
2023-01-05 02:00:00,Mahbubnagar,18.56,98.02,964.5999999999999
2023-01-05 03:00:00,Mahbubnagar,18.43,98.84,964.8000000000001
2023-01-05 04:00:00,Mahbubnagar,18.29,99.32,965.1999999999999
2023-01-05 05:00:00,Mahbubnagar,18.2,99.81,965.8
2023-01-05 06:00:00,Mahbubnagar,18.69,97.16,966.7
2023-01-05 07:00:00,Mahbubnagar,21.01,83.55,967.6999999999999
2023-01-05 08:00:00,Mahbubnagar,23.55,68.05,968.5
2023-01-05 09:00:00,Mahbubnagar,25.94,55.16,968.6
2023-01-05 10:00:00,Mahbubnagar,27.93,45.79,968.0
2023-01-05 11:00:00,Mahbubnagar,29.26,40.16,967.0
2023-01-05 12:00:00,Mahbubnagar,29.97,37.46,965.9000000000001
2023-01-05 13:00:00,Mahbubnagar,30.18,36.86,964.8000000000001
2023-01-05 14:00:00,Mahbubnagar,30.08,37.4,964.0999999999999
2023-01-05 15:00:00,Mahbubnagar,29.36,39.54,964.0999999999999
2023-01-05 16:00:00,Mahbubnagar,27.92,44.39,964.4
2023-01-05 17:00:00,Mahbubnagar,25.79,53.39,965.1999999999999
2023-01-05 18:00:00,Mahbubnagar,24.76,59.07,966.1
2023-01-05 19:00:00,Mahbubnagar,23.97,64.2,967.0999999999999
2023-01-05 20:00:00,Mahbubnagar,23.07,69.89,967.6999999999999
2023-01-05 21:00:00,Mahbubnagar,22.22,74.99,968.1
2023-01-05 22:00:00,Mahbubnagar,21.45,79.56,968.1
2023-01-05 23:00:00,Mahbubnagar,20.78,83.5,967.8
2023-01-06 00:00:00,Mahbubnagar,20.06,87.84,967.3000000000001
2023-01-06 01:00:00,Mahbubnagar,19.43,91.9,966.8000000000001
2023-01-06 02:00:00,Mahbubnagar,18.85,95.74,966.4
2023-01-06 03:00:00,Mahbubnagar,18.53,97.74,966.4
2023-01-06 04:00:00,Mahbubnagar,18.46,97.87,967.0
2023-01-06 05:00:00,Mahbubnagar,18.38,97.73,967.8
2023-01-06 06:00:00,Mahbubnagar,18.65,95.48,968.9
2023-01-06 07:00:00,Mahbubnagar,20.53,83.15,970.0
2023-01-06 08:00:00,Mahbubnagar,22.75,69.22,970.9000000000001
2023-01-06 09:00:00,Mahbubnagar,25.0,58.22,970.8
2023-01-06 10:00:00,Mahbubnagar,26.9,50.12,969.9
2023-01-06 11:00:00,Mahbubnagar,27.83,45.93,968.8
2023-01-06 12:00:00,Mahbubnagar,28.55,43.24,967.5
2023-01-06 13:00:00,Mahbubnagar,28.87,41.89,966.4
2023-01-06 14:00:00,Mahbubnagar,28.63,42.1,965.6999999999999
2023-01-06 15:00:00,Mahbubnagar,27.79,44.2,965.6
2023-01-06 16:00:00,Mahbubnagar,26.41,48.61,965.9000000000001
2023-01-06 17:00:00,Mahbubnagar,24.0,58.21,966.7
2023-01-06 18:00:00,Mahbubnagar,22.84,63.04,967.5
2023-01-06 19:00:00,Mahbubnagar,22.09,66.61,968.4000000000001
2023-01-06 20:00:00,Mahbubnagar,21.41,70.2,969.0
2023-01-06 21:00:00,Mahbubnagar,20.97,73.06,969.0999999999999
2023-01-06 22:00:00,Mahbubnagar,20.64,75.6,968.7
2023-01-06 23:00:00,Mahbubnagar,20.28,78.42,968.1
2023-01-07 00:00:00,Mahbubnagar,19.83,81.65,967.6
