datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Medak,18.02,70.87,957.9000000000001
2023-01-01 01:00:00,Medak,17.77,71.58,957.4
2023-01-01 02:00:00,Medak,17.62,72.08,956.9
2023-01-01 03:00:00,Medak,17.64,71.99,956.9
2023-01-01 04:00:00,Medak,17.78,71.83,957.3000000000001
2023-01-01 05:00:00,Medak,17.6,73.32,958.1
2023-01-01 06:00:00,Medak,17.2,76.9,959.0
2023-01-01 07:00:00,Medak,18.43,75.26,960.0
2023-01-01 08:00:00,Medak,20.74,65.18,960.6
2023-01-01 09:00:00,Medak,25.38,45.88,960.6
2023-01-01 10:00:00,Medak,27.8,39.11,960.0
2023-01-01 11:00:00,Medak,29.08,36.3,958.9
2023-01-01 12:00:00,Medak,29.9,34.62,957.6
2023-01-01 13:00:00,Medak,30.22,34.06,956.5999999999999
2023-01-01 14:00:00,Medak,30.12,34.3,955.9000000000001
2023-01-01 15:00:00,Medak,29.51,34.86,955.8
2023-01-01 16:00:00,Medak,27.46,49.01,956.1
2023-01-01 17:00:00,Medak,24.36,57.62,956.7
2023-01-01 18:00:00,Medak,22.65,61.34,957.6
2023-01-01 19:00:00,Medak,21.49,63.99,958.3
2023-01-01 20:00:00,Medak,20.54,66.87,958.8
2023-01-01 21:00:00,Medak,19.64,70.71,958.9
2023-01-01 22:00:00,Medak,18.85,74.67,958.6
2023-01-01 23:00:00,Medak,18.15,78.5,958.3
2023-01-02 00:00:00,Medak,17.57,81.98,957.6999999999999
2023-01-02 01:00:00,Medak,17.07,85.43,957.2
2023-01-02 02:00:00,Medak,16.61,88.65,956.9
2023-01-02 03:00:00,Medak,16.19,91.55,956.8000000000001
2023-01-02 04:00:00,Medak,15.78,94.44,957.2
2023-01-02 05:00:00,Medak,15.41,97.12,957.9000000000001
2023-01-02 06:00:00,Medak,15.64,96.48,958.8
2023-01-02 07:00:00,Medak,18.24,83.27,959.8000000000001
2023-01-02 08:00:00,Medak,21.69,67.0,960.6
2023-01-02 09:00:00,Medak,25.0,54.53,960.6
2023-01-02 10:00:00,Medak,26.98,48.35,960.1
2023-01-02 11:00:00,Medak,28.31,44.06,959.0999999999999
2023-01-02 12:00:00,Medak,29.18,40.98,957.9000000000001
2023-01-02 13:00:00,Medak,29.59,39.32,956.9
2023-01-02 14:00:00,Medak,29.54,38.31,956.3
