datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Hanamkonda,20.99,67.56,980.3
2023-01-01 01:00:00,Hanamkonda,19.94,72.59,979.8
2023-01-01 02:00:00,Hanamkonda,18.89,78.96,979.5
2023-01-01 03:00:00,Hanamkonda,18.38,82.11,979.5
2023-01-01 04:00:00,Hanamkonda,18.01,84.6,979.9
2023-01-01 05:00:00,Hanamkonda,17.88,85.06,980.8
2023-01-01 06:00:00,Hanamkonda,17.87,85.82,981.8
2023-01-01 07:00:00,Hanamkonda,19.75,76.64,982.8
2023-01-01 08:00:00,Hanamkonda,22.83,64.55,983.3
2023-01-01 09:00:00,Hanamkonda,26.1,53.63,983.3
2023-01-01 10:00:00,Hanamkonda,28.0,48.03,982.8
2023-01-01 11:00:00,Hanamkonda,29.14,44.87,981.7
2023-01-01 12:00:00,Hanamkonda,29.82,43.09,980.4
2023-01-01 13:00:00,Hanamkonda,30.1,42.35,979.3
2023-01-01 14:00:00,Hanamkonda,29.94,42.46,978.7
2023-01-01 15:00:00,Hanamkonda,29.34,43.83,978.5
2023-01-01 16:00:00,Hanamkonda,27.51,57.32,978.8
2023-01-01 17:00:00,Hanamkonda,24.83,65.56,979.4
2023-01-01 18:00:00,Hanamkonda,23.61,68.63,980.3
2023-01-01 19:00:00,Hanamkonda,22.79,70.94,981.0
2023-01-01 20:00:00,Hanamkonda,22.22,71.96,981.3
2023-01-01 21:00:00,Hanamkonda,21.69,72.72,981.5
2023-01-01 22:00:00,Hanamkonda,21.14,73.51,981.2
2023-01-01 23:00:00,Hanamkonda,20.46,75.34,980.8
2023-01-02 00:00:00,Hanamkonda,19.75,77.6,980.4
2023-01-02 01:00:00,Hanamkonda,19.1,80.0,979.9
2023-01-02 02:00:00,Hanamkonda,18.59,82.13,979.7
2023-01-02 03:00:00,Hanamkonda,18.15,83.99,979.7
2023-01-02 04:00:00,Hanamkonda,17.77,85.44,980.1
2023-01-02 05:00:00,Hanamkonda,17.46,86.66,980.9
2023-01-02 06:00:00,Hanamkonda,17.47,87.7,981.8
2023-01-02 07:00:00,Hanamkonda,19.3,79.94,982.8
2023-01-02 08:00:00,Hanamkonda,22.43,70.57,983.5
2023-01-02 09:00:00,Hanamkonda,25.24,61.25,983.6
2023-01-02 10:00:00,Hanamkonda,26.93,55.52,983.0
2023-01-02 11:00:00,Hanamkonda,28.03,51.39,981.9
2023-01-02 12:00:00,Hanamkonda,28.78,48.4,980.7
2023-01-02 13:00:00,Hanamkonda,29.17,46.5,979.7
2023-01-02 14:00:00,Hanamkonda,29.08,45.79,979.1
2023-01-02 15:00:00,Hanamkonda,28.55,46.81,978.9
2023-01-02 16:00:00,Hanamkonda,27.09,58.86,979.3
2023-01-02 17:00:00,Hanamkonda,25.04,66.15,980.0
2023-01-02 18:00:00,Hanamkonda,23.99,69.56,980.8
2023-01-02 19:00:00,Hanamkonda,23.19,72.12,981.5
2023-01-02 20:00:00,Hanamkonda,22.46,74.43,981.8
2023-01-02 21:00:00,Hanamkonda,21.85,76.3,981.8
2023-01-02 22:00:00,Hanamkonda,21.11,78.59,981.6
2023-01-02 23:00:00,Hanamkonda,20.51,80.17,981.4
2023-01-03 00:00:00,Hanamkonda,19.95,82.59,981.3
2023-01-03 01:00:00,Hanamkonda,19.29,86.63,980.9
2023-01-03 02:00:00,Hanamkonda,18.64,90.85,980.7
2023-01-03 03:00:00,Hanamkonda,18.19,93.82,980.7
2023-01-03 04:00:00,Hanamkonda,17.8,96.79,981.0
2023-01-03 05:00:00,Hanamkonda,17.56,99.19,981.6
2023-01-03 06:00:00,Hanamkonda,17.91,98.4,982.5
2023-01-03 07:00:00,Hanamkonda,20.47,86.22,983.3
2023-01-03 08:00:00,Hanamkonda,23.1,73.79,983.9
2023-01-03 09:00:00,Hanamkonda,25.24,64.08,983.8
2023-01-03 10:00:00,Hanamkonda,26.87,57.31,983.0
2023-01-03 11:00:00,Hanamkonda,27.99,52.49,981.8
2023-01-03 12:00:00,Hanamkonda,28.66,48.92,980.5
2023-01-03 13:00:00,Hanamkonda,28.86,46.79,979.5
2023-01-03 14:00:00,Hanamkonda,28.78,45.79,978.8
2023-01-03 15:00:00,Hanamkonda,28.14,46.74,978.6
2023-01-03 16:00:00,Hanamkonda,26.51,58.82,978.9
2023-01-03 17:00:00,Hanamkonda,24.03,68.17,979.6
2023-01-03 18:00:00,Hanamkonda,22.97,70.68,980.4
2023-01-03 19:00:00,Hanamkonda,22.16,73.19,981.1
2023-01-03 20:00:00,Hanamkonda,21.4,75.85,981.5
2023-01-03 21:00:00,Hanamkonda,20.76,77.62,981.5
2023-01-03 22:00:00,Hanamkonda,20.25,79.43,981.2
2023-01-03 23:00:00,Hanamkonda,19.82,82.07,980.8
2023-01-04 00:00:00,Hanamkonda,19.38,86.17,980.4
2023-01-04 01:00:00,Hanamkonda,18.92,91.55,979.9
2023-01-04 02:00:00,Hanamkonda,18.63,95.44,979.7
2023-01-04 03:00:00,Hanamkonda,18.36,98.4,979.8
2023-01-04 04:00:00,Hanamkonda,18.19,99.79,980.2
2023-01-04 05:00:00,Hanamkonda,18.26,99.43,980.9
2023-01-04 06:00:00,Hanamkonda,18.79,96.49,981.9
2023-01-04 07:00:00,Hanamkonda,20.52,88.08,982.6
2023-01-04 08:00:00,Hanamkonda,22.62,77.95,983.2
2023-01-04 09:00:00,Hanamkonda,24.48,68.67,983.1
2023-01-04 10:00:00,Hanamkonda,26.11,61.22,982.4
2023-01-04 11:00:00,Hanamkonda,27.48,55.44,981.1
2023-01-04 12:00:00,Hanamkonda,28.23,51.63,979.9
2023-01-04 13:00:00,Hanamkonda,28.44,49.39,978.9
2023-01-04 14:00:00,Hanamkonda,27.95,49.34,978.2
2023-01-04 15:00:00,Hanamkonda,27.24,51.08,978.1
2023-01-04 16:00:00,Hanamkonda,25.66,63.56,978.4
2023-01-04 17:00:00,Hanamkonda,23.37,73.48,979.1
2023-01-04 18:00:00,Hanamkonda,22.65,74.9,979.9
2023-01-04 19:00:00,Hanamkonda,22.14,76.1,980.6
2023-01-04 20:00:00,Hanamkonda,21.7,77.44,981.2
2023-01-04 21:00:00,Hanamkonda,21.22,79.33,981.3
2023-01-04 22:00:00,Hanamkonda,20.74,82.19,981.1
2023-01-04 23:00:00,Hanamkonda,20.29,86.17,980.8
2023-01-05 00:00:00,Hanamkonda,19.86,90.82,980.6
2023-01-05 01:00:00,Hanamkonda,19.39,95.49,980.3
2023-01-05 02:00:00,Hanamkonda,18.99,99.0,980.1
2023-01-05 03:00:00,Hanamkonda,18.72,100.0,980.2
2023-01-05 04:00:00,Hanamkonda,18.56,100.0,980.5
2023-01-05 05:00:00,Hanamkonda,18.47,100.0,981.2
2023-01-05 06:00:00,Hanamkonda,18.98,98.77,982.2
2023-01-05 07:00:00,Hanamkonda,21.07,88.0,983.2
2023-01-05 08:00:00,Hanamkonda,23.11,76.06,984.0
2023-01-05 09:00:00,Hanamkonda,25.04,65.5,984.1
2023-01-05 10:00:00,Hanamkonda,26.69,58.12,983.5
2023-01-05 11:00:00,Hanamkonda,27.52,54.16,982.5
2023-01-05 12:00:00,Hanamkonda,28.19,51.09,981.4
2023-01-05 13:00:00,Hanamkonda,28.46,49.28,980.3
2023-01-05 14:00:00,Hanamkonda,28.33,48.86,979.8
2023-01-05 15:00:00,Hanamkonda,27.56,51.19,979.8
2023-01-05 16:00:00,Hanamkonda,25.98,64.05,980.2
2023-01-05 17:00:00,Hanamkonda,23.82,72.74,980.7
2023-01-05 18:00:00,Hanamkonda,23.05,74.99,981.5
2023-01-05 19:00:00,Hanamkonda,22.43,77.25,982.4
2023-01-05 20:00:00,Hanamkonda,21.91,78.12,982.9
2023-01-05 21:00:00,Hanamkonda,21.47,78.95,983.3
2023-01-05 22:00:00,Hanamkonda,20.98,80.66,983.3
2023-01-05 23:00:00,Hanamkonda,20.4,83.26,983.1
2023-01-06 00:00:00,Hanamkonda,19.87,85.67,982.8
2023-01-06 01:00:00,Hanamkonda,19.41,87.63,982.2
2023-01-06 02:00:00,Hanamkonda,18.99,89.14,981.9
2023-01-06 03:00:00,Hanamkonda,18.56,90.4,981.8
2023-01-06 04:00:00,Hanamkonda,18.23,91.3,982.3
2023-01-06 05:00:00,Hanamkonda,18.01,91.67,983.2
2023-01-06 06:00:00,Hanamkonda,18.18,90.34,984.2
2023-01-06 07:00:00,Hanamkonda,19.56,82.29,985.4
2023-01-06 08:00:00,Hanamkonda,21.59,73.82,986.3
2023-01-06 09:00:00,Hanamkonda,23.43,67.1,986.3
2023-01-06 10:00:00,Hanamkonda,24.97,61.78,985.5
2023-01-06 11:00:00,Hanamkonda,26.47,56.14,984.4
2023-01-06 12:00:00,Hanamkonda,27.41,52.16,983.1
2023-01-06 13:00:00,Hanamkonda,27.86,49.83,982.0
2023-01-06 14:00:00,Hanamkonda,27.57,49.84,981.2
2023-01-06 15:00:00,Hanamkonda,26.98,51.15,981.0
2023-01-06 16:00:00,Hanamkonda,25.32,63.75,981.3
2023-01-06 17:00:00,Hanamkonda,23.0,73.42,981.9
2023-01-06 18:00:00,Hanamkonda,22.19,74.74,982.6
2023-01-06 19:00:00,Hanamkonda,21.44,76.3,983.5
2023-01-06 20:00:00,Hanamkonda,20.75,76.97,983.9
2023-01-06 21:00:00,Hanamkonda,20.11,77.44,984.1
2023-01-06 22:00:00,Hanamkonda,19.48,77.68,983.8
2023-01-06 23:00:00,Hanamkonda,18.92,77.69,983.4
2023-01-07 00:00:00,Hanamkonda,18.34,78.47,983.0
2023-01-07 01:00:00,Hanamkonda,17.88,79.57,982.3
2023-01-07 02:00:00,Hanamkonda,17.37,81.66,981.8
2023-01-07 03:00:00,Hanamkonda,16.81,84.28,981.8
2023-01-07 04:00:00,Hanamkonda,16.29,86.89,982.1
2023-01-07 05:00:00,Hanamkonda,15.75,89.47,982.7
2023-01-07 06:00:00,Hanamkonda,15.65,89.59,983.5
2023-01-07 07:00:00,Hanamkonda,17.04,81.75,984.4
2023-01-07 08:00:00,Hanamkonda,20.21,64.7,985.0
