datetime,district,T2M,PS,RH2M,expected_temperature,isolation_forest_status,final_status,fault_type,anomaly_score
2026-09-08 00:00:00,Hyderabad,22.7,949.05,94.51,23.15,NORMAL,NORMAL,NONE,0.0366
2026-09-08 00:00:00,Medak,23.04,949.32,92.82,23.14,NORMAL,NORMAL,NONE,0.0965
2026-09-08 00:00:00,Sangareddy,22.22,941.47,95.3,22.71,NORMAL,NORMAL,NONE,0.0557
2026-09-08 00:00:00,Hanamkonda,23.09,971.9,92.31,24.16,NORMAL,NORMAL,NONE,0.0728
2026-09-08 00:00:00,Nizamabad,23.91,957.2,95.86,23.62,NORMAL,NORMAL,NONE,0.0988
2026-09-08 00:00:00,Karimnagar,24.81,975.25,93.93,24.5,NORMAL,NORMAL,NONE,0.0964
2026-09-08 00:00:00,Khammam,23.56,990.7,92.65,25.15,NORMAL,NORMAL,NONE,0.0529
2026-09-08 00:00:00,Mahbubnagar,23.71,956.16,94.6,23.38,NORMAL,NORMAL,NONE,0.088
2026-09-08 01:00:00,Hyderabad,23.45,951.52,93.96,22.94,NORMAL,NORMAL,NONE,0.035
2026-09-08 01:00:00,Medak,23.3,948.01,95.0,22.9,NORMAL,NORMAL,NONE,0.0699
2026-09-08 01:00:00,Sangareddy,23.04,942.87,95.94,22.46,NORMAL,NORMAL,NONE,0.0596
2026-09-08 01:00:00,Hanamkonda,23.89,969.55,97.88,23.95,NORMAL,NORMAL,NONE,0.0517
2026-09-08 01:00:00,Nizamabad,22.59,956.72,96.77,23.39,NORMAL,NORMAL,NONE,0.108
2026-09-08 01:00:00,Karimnagar,23.66,975.6,93.7,24.29,NORMAL,NORMAL,NONE,0.1128
2026-09-08 01:00:00,Khammam,25.91,990.54,95.11,24.91,NORMAL,NORMAL,NONE,0.0806
2026-09-08 01:00:00,Mahbubnagar,23.33,956.27,95.76,23.08,NORMAL,NORMAL,NONE,0.1389
2026-09-08 02:00:00,Hyderabad,21.71,950.25,94.76,22.74,NORMAL,NORMAL,NONE,0.0146
2026-09-08 02:00:00,Medak,22.0,949.05,96.83,22.68,NORMAL,NORMAL,NONE,0.1013
2026-09-08 02:00:00,Sangareddy,22.87,941.83,94.86,22.24,NORMAL,NORMAL,NONE,0.0585
2026-09-08 02:00:00,Hanamkonda,24.19,970.24,98.53,23.76,NORMAL,NORMAL,NONE,0.1052
2026-09-08 02:00:00,Nizamabad,21.97,956.2,95.21,23.17,NORMAL,NORMAL,NONE,0.1161
2026-09-08 02:00:00,Karimnagar,22.44,974.3,98.7,24.1,NORMAL,NORMAL,NONE,0.0129
2026-09-08 02:00:00,Khammam,24.97,990.16,93.53,24.7,NORMAL,NORMAL,NONE,0.1117
