datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Nizamabad,18.49,63.17,966.8000000000001
2023-01-01 01:00:00,Nizamabad,18.32,63.6,966.3
2023-01-01 02:00:00,Nizamabad,18.22,63.75,965.9000000000001
2023-01-01 03:00:00,Nizamabad,18.03,64.38,966.0
2023-01-01 04:00:00,Nizamabad,17.66,66.08,966.5
2023-01-01 05:00:00,Nizamabad,16.99,69.15,967.3000000000001
2023-01-01 06:00:00,Nizamabad,16.36,72.96,968.1999999999999
2023-01-01 07:00:00,Nizamabad,18.3,65.25,969.0999999999999
2023-01-01 08:00:00,Nizamabad,21.15,54.4,969.7
2023-01-01 09:00:00,Nizamabad,25.49,40.67,969.5999999999999
2023-01-01 10:00:00,Nizamabad,28.39,33.8,968.9
2023-01-01 11:00:00,Nizamabad,29.83,31.14,967.8
2023-01-01 12:00:00,Nizamabad,30.79,29.33,966.5
2023-01-01 13:00:00,Nizamabad,31.21,28.57,965.5
2023-01-01 14:00:00,Nizamabad,31.12,28.7,964.8000000000001
2023-01-01 15:00:00,Nizamabad,30.5,29.13,964.7
2023-01-01 16:00:00,Nizamabad,28.35,39.22,964.9
2023-01-01 17:00:00,Nizamabad,24.94,46.76,965.6
2023-01-01 18:00:00,Nizamabad,23.39,50.03,966.5
2023-01-01 19:00:00,Nizamabad,22.29,52.78,967.3000000000001
2023-01-01 20:00:00,Nizamabad,21.21,55.98,967.6999999999999
2023-01-01 21:00:00,Nizamabad,20.1,60.09,967.9000000000001
2023-01-01 22:00:00,Nizamabad,19.13,63.95,967.8
2023-01-01 23:00:00,Nizamabad,18.33,67.35,967.3000000000001
2023-01-02 00:00:00,Nizamabad,17.66,70.44,966.8000000000001
2023-01-02 01:00:00,Nizamabad,17.09,73.39,966.4
2023-01-02 02:00:00,Nizamabad,16.58,76.1,966.1
2023-01-02 03:00:00,Nizamabad,16.09,78.76,966.0
2023-01-02 04:00:00,Nizamabad,15.64,81.44,966.4
2023-01-02 05:00:00,Nizamabad,15.23,84.12,967.0999999999999
2023-01-02 06:00:00,Nizamabad,15.3,84.88,968.0
2023-01-02 07:00:00,Nizamabad,17.66,74.63,969.0
2023-01-02 08:00:00,Nizamabad,21.41,58.91,969.5999999999999
2023-01-02 09:00:00,Nizamabad,25.44,45.77,969.7
2023-01-02 10:00:00,Nizamabad,27.65,40.83,969.2
2023-01-02 11:00:00,Nizamabad,29.09,37.4,968.1999999999999
2023-01-02 12:00:00,Nizamabad,30.0,34.9,967.0
2023-01-02 13:00:00,Nizamabad,30.45,33.44,965.8
2023-01-02 14:00:00,Nizamabad,30.47,32.36,965.1
2023-01-02 15:00:00,Nizamabad,29.88,33.07,964.9
2023-01-02 16:00:00,Nizamabad,28.06,41.77,965.3
2023-01-02 17:00:00,Nizamabad,24.99,50.95,966.0
2023-01-02 18:00:00,Nizamabad,23.7,53.47,966.8000000000001
2023-01-02 19:00:00,Nizamabad,22.68,55.35,967.4
2023-01-02 20:00:00,Nizamabad,21.81,58.21,967.9000000000001
2023-01-02 21:00:00,Nizamabad,20.61,62.61,968.1
2023-01-02 22:00:00,Nizamabad,19.68,66.65,968.1
2023-01-02 23:00:00,Nizamabad,18.96,69.98,968.0
2023-01-03 00:00:00,Nizamabad,18.37,72.66,967.6999999999999
2023-01-03 01:00:00,Nizamabad,17.83,75.28,967.2
2023-01-03 02:00:00,Nizamabad,17.33,78.29,966.8000000000001
2023-01-03 03:00:00,Nizamabad,16.89,81.69,966.7
2023-01-03 04:00:00,Nizamabad,16.51,85.35,967.0
2023-01-03 05:00:00,Nizamabad,16.2,89.19,967.6999999999999
2023-01-03 06:00:00,Nizamabad,16.38,90.4,968.6
2023-01-03 07:00:00,Nizamabad,18.81,79.94,969.3000000000001
2023-01-03 08:00:00,Nizamabad,22.43,65.18,969.9
2023-01-03 09:00:00,Nizamabad,25.63,54.67,969.8000000000001
2023-01-03 10:00:00,Nizamabad,27.64,48.4,969.0
2023-01-03 11:00:00,Nizamabad,28.87,44.23,967.6999999999999
2023-01-03 12:00:00,Nizamabad,29.45,41.38,966.5
2023-01-03 13:00:00,Nizamabad,29.68,39.61,965.4000000000001
2023-01-03 14:00:00,Nizamabad,29.57,38.95,964.7
2023-01-03 15:00:00,Nizamabad,29.15,39.36,964.3000000000001
2023-01-03 16:00:00,Nizamabad,27.92,46.64,964.7
2023-01-03 17:00:00,Nizamabad,26.01,54.94,965.4000000000001
2023-01-03 18:00:00,Nizamabad,24.8,56.74,966.3
2023-01-03 19:00:00,Nizamabad,23.79,59.33,967.0
2023-01-03 20:00:00,Nizamabad,22.97,61.77,967.4
2023-01-03 21:00:00,Nizamabad,22.32,64.03,967.5
2023-01-03 22:00:00,Nizamabad,21.7,66.72,967.2
2023-01-03 23:00:00,Nizamabad,20.9,70.47,966.7
2023-01-04 00:00:00,Nizamabad,20.11,74.28,966.3
2023-01-04 01:00:00,Nizamabad,19.45,77.69,965.8
2023-01-04 02:00:00,Nizamabad,18.8,81.51,965.5
2023-01-04 03:00:00,Nizamabad,18.29,85.24,965.4000000000001
2023-01-04 04:00:00,Nizamabad,18.07,88.16,965.8
2023-01-04 05:00:00,Nizamabad,18.08,89.95,966.5999999999999
2023-01-04 06:00:00,Nizamabad,18.17,90.92,967.5
2023-01-04 07:00:00,Nizamabad,19.76,83.45,968.1999999999999
2023-01-04 08:00:00,Nizamabad,22.54,70.01,968.8
2023-01-04 09:00:00,Nizamabad,24.9,58.8,969.0
