datetime,district,T2M,RH2M,PS
2023-01-01 00:00:00,Sangareddy,18.06,75.84,951.5
2023-01-01 01:00:00,Sangareddy,17.68,78.23,951.0
2023-01-01 02:00:00,Sangareddy,17.32,81.14,950.5
2023-01-01 03:00:00,Sangareddy,17.06,83.87,950.5
2023-01-01 04:00:00,Sangareddy,16.93,86.0,950.8
2023-01-01 05:00:00,Sangareddy,16.85,87.93,951.5999999999999
2023-01-01 06:00:00,Sangareddy,17.09,88.32,952.5
2023-01-01 07:00:00,Sangareddy,18.58,85.49,953.5
2023-01-01 08:00:00,Sangareddy,21.37,70.66,954.0999999999999
2023-01-01 09:00:00,Sangareddy,25.95,48.03,954.0999999999999
2023-01-01 10:00:00,Sangareddy,28.08,40.89,953.5
2023-01-01 11:00:00,Sangareddy,29.31,37.66,952.4
2023-01-01 12:00:00,Sangareddy,30.1,35.59,951.2
2023-01-01 13:00:00,Sangareddy,30.42,34.76,950.1
2023-01-01 14:00:00,Sangareddy,30.31,34.71,949.5
2023-01-01 15:00:00,Sangareddy,29.67,35.57,949.3000000000001
2023-01-01 16:00:00,Sangareddy,27.8,48.04,949.5999999999999
2023-01-01 17:00:00,Sangareddy,24.61,59.16,950.3
2023-01-01 18:00:00,Sangareddy,22.81,63.92,951.1
2023-01-01 19:00:00,Sangareddy,21.7,66.64,951.8000000000001
2023-01-01 20:00:00,Sangareddy,20.84,69.67,952.3000000000001
2023-01-01 21:00:00,Sangareddy,20.05,73.94,952.4
2023-01-01 22:00:00,Sangareddy,19.32,78.69,952.2
2023-01-01 23:00:00,Sangareddy,18.67,83.18,951.8000000000001
2023-01-02 00:00:00,Sangareddy,18.09,87.52,951.2
2023-01-02 01:00:00,Sangareddy,17.56,91.79,950.6999999999999
2023-01-02 02:00:00,Sangareddy,17.08,95.82,950.4000000000001
2023-01-02 03:00:00,Sangareddy,16.65,99.5,950.3
2023-01-02 04:00:00,Sangareddy,16.27,100.0,950.6999999999999
2023-01-02 05:00:00,Sangareddy,16.02,100.0,951.4
2023-01-02 06:00:00,Sangareddy,16.51,100.0,952.4
2023-01-02 07:00:00,Sangareddy,19.06,87.19,953.3
2023-01-02 08:00:00,Sangareddy,22.54,69.0,954.0999999999999
2023-01-02 09:00:00,Sangareddy,25.26,56.9,954.0999999999999
2023-01-02 10:00:00,Sangareddy,27.09,49.49,953.6
2023-01-02 11:00:00,Sangareddy,28.39,44.45,952.6
2023-01-02 12:00:00,Sangareddy,29.28,40.98,951.4
2023-01-02 13:00:00,Sangareddy,29.73,38.88,950.4000000000001
2023-01-02 14:00:00,Sangareddy,29.62,38.24,949.8000000000001
2023-01-02 15:00:00,Sangareddy,28.97,39.05,949.7
2023-01-02 16:00:00,Sangareddy,27.17,49.24,950.0
2023-01-02 17:00:00,Sangareddy,24.31,63.92,950.6999999999999
2023-01-02 18:00:00,Sangareddy,23.32,64.32,951.5
2023-01-02 19:00:00,Sangareddy,22.75,65.87,952.2
2023-01-02 20:00:00,Sangareddy,22.0,69.48,952.6
2023-01-02 21:00:00,Sangareddy,20.9,74.83,952.8
2023-01-02 22:00:00,Sangareddy,19.97,79.24,952.6999999999999
2023-01-02 23:00:00,Sangareddy,19.27,82.8,952.4
2023-01-03 00:00:00,Sangareddy,18.65,86.26,952.0999999999999
